Taxón,PNS NIEVES,PNS NEVADA,PN DOÑANA,Recolectada en sierra nevada,rbcl,trnH,MatK,ITS
Andryala ragusina,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Antennaria dioica,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Anthyllis cytisoides,1,1,1,S,1,1,1,1
Anthyllis gerardii,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Anthyllis podocephala,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Anthyllis tejedensis tejedensis,0,1,0,S,1,1,1,1
Anthyllis terniflora,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Anthyllis vulneraria arundana,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Anthyllis vulneraria gandogeri,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Anthyllis vulneraria maura,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Anthyllis vulneraria reuteri,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Antirrhinum hispanicum,0,1,0,S,1,1,1,1
Antirrhinum litigiosum,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Antirrhinum mollissimum,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Arbutus unedo,1,1,1,S,1,1,1,1
Arceuthobium oxycedri,0,1,1,N,#N/A,#N/A,#N/A,#N/A
Arctostaphylos uvaursi,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Arenaria armerina,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Arenaria armerina armerina,0,1,0,S,1,1,1,1
Arenaria armerina caesia,0,1,0,S,1,1,1,1
Arenaria erinacea,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Arenaria grandiflora grandiflora,0,1,0,S,1,0,1,1
Arenaria pungens pungens,0,1,0,S,1,1,1,1
Arenaria tetraquetra amabilis,0,1,0,S,1,1,1,1
Arenaria tetraquetra murcica,0,1,0,S,1,1,1,1
Argantoniella salzmannii,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Argyrolobium zanoii,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Argyrolobium zanonii zanonii,0,1,0,S,1,1,1,1
Aristolochia baetica,1,1,1,S,1,1,1,0
Armeria filicaulis nevadensis,0,1,0,S,1,1,1,1
Armeria filicaulis trevenqueana,0,1,0,S,1,1,1,1
Armeria gaditana,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Armeria hirta,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Armeria hispalensis,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Armeria linkiana,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Armeria macrophylla,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
