Taxón,PNS NIEVES,PNS NEVADA,PN DOÑANA,Recolectada en sierra nevada,rbcl,trnH,MatK,ITS
Helictotrichon filifolium filifolium,0,1,0,S,1,1,1,1
Helleborus foetidus,1,1,0,S,1,1,1,1
Herniaria baetica,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Herniaria fontanesii almeriana,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Herniaria scabrida scabrida,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Hippocrepis bourgaei,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Hippocrepis comosa,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Hippocrepis eriocarpa,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Hippocrepis fruticescens,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Hippocrepis nevadensis,0,1,0,S,1,1,1,1
Hippocrepis prostrata,0,1,0,S,1,1,1,1
Hippocrepis rupestris,0,1,1,N,#N/A,#N/A,#N/A,#N/A
Hippocrepis scabra,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Hippocrepis scabra baetica,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Hormathophylla lapeyrousiana angustifolia,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Hormathophylla longicaulis,1,1,0,S,1,1,1,1
Hormathophylla spinosa,1,1,0,S,1,1,1,1
Hyoseris radiata,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Hypericum ericoides,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Hypericum humifusum,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Hyssopus officinalis pilifer,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Iberis saxatilis cinerea,0,1,0,S,1,1,1,1
Ilex aquifolium,1,1,0,S,1,1,1,1
Jasminum fruticans,1,1,1,S,1,1,1,1
Juniperus communis,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Juniperus communis alpina,0,1,0,S,1,1,0,0
Juniperus communis hemisphaerica,0,1,0,S,1,1,0,0
Juniperus oxycedrus,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Juniperus oxycedrus macrocarpa,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Juniperus oxycedrus oxycedrus,0,1,1,S,1,1,0,0
Juniperus phoenicea,1,1,0,S,1,1,1,0
Juniperus phoenicea turbinata,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Juniperus sabina,1,1,0,S,1,1,1,0
Jurinea humilis,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Jurinea pinnata,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Kundmannia sicula,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Lactuca tenerrima,1,1,0,S,1,1,1,1
Lathyrus latifolius,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Lathyrus nudicaulis,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Launaea fragilis,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Launaea lanifera,0,1,0,S,1,1,1,1
Laurus nobilis,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Lavandula lanata,1,1,0,S,1,1,1,1
Lavandula latifolia,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Lavandula multifida,1,1,0,S,1,1,0,0
Lavandula peduncula,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Lavandula stoechas,0,1,1,S,1,1,1,1
Lavandula stoechas stoechas,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Lavatera arborea,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Lavatera maritima,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Lavatera oblongifolia,0,1,0,S,1,1,1,1
Leontodon tingitanus,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Lepidium calycotrichum,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Lepidium hirtum calycotrichum,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Lepidium subulatum,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Linaria glacialis,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Linum narbonense,1,1,0,S,1,1,1,1
Linum suffruticosum,0,1,0,S,1,1,1,1
Linum suffruticosum carratracensis,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Linum suffruticosum suffruticosum,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Lithodora fruticosa,1,1,0,S,1,1,0,0
Lithodora prostrata lusitanica,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Lobularia maritima maritima,1,1,1,S,1,1,1,1
Lomelosia pulsatilloides pulsatilloides,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Lonicera arborea,0,1,0,S,1,1,1,1
Lonicera biflora,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Lonicera etrusca,1,1,0,S,1,1,1,1
Lonicera implexa,1,1,1,N,#N/A,#N/A,#N/A,#N/A
Lonicera periclymenum hispanica,1,1,1,S,1,1,1,1
Lonicera splendida,1,1,0,S,1,1,1,1
Lonicera xylosteum,0,1,0,S,1,1,1,1
Lotus creticus,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Lycium europaeum,0,1,1,N,#N/A,#N/A,#N/A,#N/A
Lythrum salicaria,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Macrochloa tenacissima,0,1,0,S,1,1,1,1
Malcolmia littorea,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Malcolmia triloba,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Malus sylvestris,0,1,0,S,1,1,1,1
Marrubium alysson,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Marrubium supinum,0,1,0,S,1,1,1,1
Marrubium vulgare,1,1,1,N,#N/A,#N/A,#N/A,#N/A
Medicago marina,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Mentha pulegium,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Mentha suaveolens,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Mercurialis elliptica,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Mercurialis tomentosa,1,1,1,S,1,0,1,0
Micromeria graeca,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Micromeria graeca graeca,0,1,1,S,1,0,0,0
Myrtus communis,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Nerium oleander,1,1,1,S,1,1,1,1
Nevadensia purpurea,0,1,0,S,1,1,1,1
Nicotiana glauca,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Odontites bolligeri,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Olea europaea,0,1,1,S,1,1,1,1
Olea europea europea,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Olea europea sylvestris,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Onobrychis argentea argentea,0,1,0,S,1,1,1,1
Onobrychis argentea hispanica,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Onobrychis humilis humilis,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Onobrychis peduncularis,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Ononis aragonensis,0,1,0,S,1,1,1,1
Ononis cephalotes,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Ononis cristata,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Ononis minutissima,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Ononis natrix,1,1,1,S,1,1,1,1
Ononis pusilla,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Ononis pusilla pusilla,0,1,0,S,1,1,1,1
Ononis ramosissima,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Ononis reuteri,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Ononis rotundifolia,0,1,0,S,1,1,1,1
Ononis saxicola,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Ononis speciosa,1,1,0,S,1,1,1,1
Ononis spinosa australis,0,1,1,S,1,1,1,1
Origanum virens,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Osyris alba,1,1,1,S,1,1,1,1
Osyris lanceolata,1,1,1,S,1,1,1,1
Otanthus maritimus,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Parietaria judaica,1,1,1,S,1,1,1,Hongo
Paronychia aretioides,0,1,0,S,1,1,1,1
Paronychia argentea,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Paronychia capitata,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Paronychia suffruticosa,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Paronychia suffruticosa hirsuta,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Paronychia suffruticosa suffruticosa,0,1,0,S,1,1,1,1
Peganum harmala,0,1,0,S,1,1,1,Hongo 
Petrorhagia saxifraga,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Peucedanum lancifolium,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Phagnalon rupestre,1,1,1,S,1,1,1,1
Phagnalon saxatile,1,1,1,S,1,1,1,1
Phagnalon sordidum,1,1,0,S,1,1,1,1
Phillyrea angustifolia,0,1,1,N,#N/A,#N/A,#N/A,#N/A
Phillyrea latifolia,0,1,1,N,#N/A,#N/A,#N/A,#N/A
Phlomis composita,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Phlomis crinita,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Phlomis crinita malacitana,1,1,0,S,1,1,1,1
Phlomis lychnitis,1,1,1,S,1,1,1,1
Phlomis purpurea,1,1,1,S,1,1,1,1
Phonus arborescens,0,1,0,S,1,1,1,1
Phyllirea angustifolia,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Phyllirea latifolia,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Phyllirea media,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Pimpinella villosa,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Pinus halepensis,1,1,1,S,1,1,0,0
Pinus nigra,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Pinus nigra salzmannii,0,1,0,S,1,1,0,0
Pinus pinaster,1,1,1,S,1,1,0,0
Pinus pinea,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Pinus radiata,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Pinus sylvestris,1,1,0,S,1,1,0,0
Pistacia lentiscus,1,1,1,N,#N/A,#N/A,#N/A,#N/A
Pistacia terebinthus,1,1,0,S,1,1,1,1
Plantago albicans,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Plantago algarbiensis,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Plantago holosteum,0,1,0,S,1,1,1,1
Plantago macrorhiza,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Plantago sempervirens,0,1,0,S,1,1,1,1
Plumbago europaea,0,1,1,S,1,1,1,1
Polygala baetica,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Polygala boissieri,0,1,0,S,1,1,1,1
Polygala rupestris,1,1,0,S,1,1,1,1
Polygala vulgaris vulgaris,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Polygonum equisetiforme,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Polygonum maritimum,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Populus alba,1,1,1,S,0,0,0,0
Populus nigra,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Potentilla caulescens,1,1,0,S,#N/A,#N/A,#N/A,#N/A
Potentilla nevadensis,0,1,0,S,#N/A,#N/A,#N/A,#N/A
Prasium majus,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Prunus avium,0,1,0,S,#N/A,#N/A,#N/A,#N/A
Prunus dulcis,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Prunus insititia,1,1,0,S,1,1,1,1
Prunus mahaleb,1,1,0,S,1,1,1,1
Prunus prostrata,1,1,0,S,1,0,1,0
Prunus ramburii,0,1,0,S,1,1,1,1
Prunus spinosa,1,1,0,N,#N/A,#N/A,#N/A,#N/A
Pterocephalus spathulatus,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Ptilostemon hispanicus,1,1,0,S,1,1,1,1
Punica granatum,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Putoria calabrica,1,1,0,S,1,1,1,1
Pycnocomon rutifolium,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Pyrus bourgaeana,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Pyrus bourgeana,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Quercus alpestris,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Quercus canariensis,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Quercus coccifera,1,1,1,S,1,1,1,1
Quercus faginea broteroi,1,1,0,N,#N/A,#N/A,#N/A,#N/A
Quercus faginea faginea,1,1,1,S,1,1,1,1
Quercus ilex ballota,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Quercus pyrenaica,1,1,0,S,1,1,1,1
Quercus rotundifolia,0,1,1,S,1,1,1,1
Quercus suber,1,1,1,S,1,1,1,1
Quercus x morisii,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Retama monosperma,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Retama sphaerocarpa,1,1,1,S,1,1,1,1
Rhamnus alaternus,1,1,1,S,1,1,1,1
Rhamnus cathartica,0,1,0,S,1,1,1,1
Rhamnus lycioides lycioides,0,1,0,S,1,1,1,1
Rhamnus lycioides oleoides,1,1,1,S,1,1,1,1
Rhamnus lycioides velutina,0,1,0,S,1,1,1,1
Rhamnus lycioides velutinus,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Rhamnus myrtifolia,0,1,0,S,1,1,1,1
Rhamnus myrtifolius,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Rhamnus pumila,1,1,0,S,1,1,1,1
Rhamnus saxatilis,1,1,0,S,1,1,1,1
Rhodalsine geniculata,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Rhus coriaria,1,1,1,N,#N/A,#N/A,#N/A,#N/A
Ribes alpinum,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Ribes uvacrispa,0,1,0,S,1,1,0,0
Rosa agrestis,0,1,0,S,1,1,1,1
Rosa andegavensis,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Rosa blondaeana,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Rosa canina,1,1,1,S,1,1,1,1
Rosa dumalis,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Rosa micrantha,1,1,0,N,#N/A,#N/A,#N/A,#N/A
Rosa pimpinellifolia,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Rosa pouzinii,1,1,0,N,#N/A,#N/A,#N/A,#N/A
Rosa sempervirens,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Rosa sicula,1,1,0,S,1,1,1,1
Rosa sicula x Rosa canina,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Rosa squarrosa,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Rosa stylosa,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Rosa villosa,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Rosmarinus officinalis,1,1,1,S,1,1,1,1
Rubia agostinhoi,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Rubia peregrina,1,1,1,S,1,1,1,1
Rubus caesius,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Rubus ulmifolius,1,1,1,S,1,1,1,1
Rumex acetosella angiocarpus,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Rumex induratus,0,1,0,S,1,1,1,1
Rumex intermedius,1,1,0,N,#N/A,#N/A,#N/A,#N/A
Rumex papillaris,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Rumex scutatus,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Rumex thyrsoides,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Ruscus aculeatus,1,1,1,S,1,1,1,0
Ruta angustifolia,1,1,1,S,1,1,1,1
Ruta chalepensis,0,1,1,S,1,1,1,1
Ruta montana,0,1,1,S,1,1,1,1
Salix alba,1,1,1,S,1,1,1,1
Salix atrocinerea,1,1,1,S,1,1,1,1
Salix caprea,0,1,0,S,1,1,1,1
Salix elaeagnos angustifolia,0,1,0,S,1,1,1,1
Salix eleagnos,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Salix fragilis,1,1,1,N,#N/A,#N/A,#N/A,#N/A
Salix hastata sierranevadae,0,1,0,S,#N/A,#N/A,#N/A,#N/A
Salix neotricha,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Salix pedicellata,1,1,1,S,1,1,1,1
Salix purpurea,1,1,1,S,1,1,1,1
Salix triandra discolor,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Salsola genistoides,0,1,0,S,1,1,1,1
Salsola oppositifolia,0,1,1,S,1,1,1,1
Salsola vermiculata,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Salvia candelabrum,1,1,0,S,1,1,1,1
Salvia lavandulifolia,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Salvia lavandulifolia vellerea,0,1,0,S,1,1,1,1
Sambucus nigra,1,1,0,S,1,1,1,1
Sanguisorba rupicola,0,1,0,S,1,1,1,1
Sanguisorba verrucosa,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Santolina canescens,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Santolina chamaecyparissus chamaecyparissus,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Santolina chamaecyparissus squarrosa,0,1,0,S,1,1,1,0
Santolina elegans,0,1,0,S,1,1,1,1
Santolina rosmarinifolia canescens,0,1,0,S,1,1,1,1
Santolina rosmarinifolia pectinata,0,1,0,S,#N/A,#N/A,#N/A,#N/A
Saponaria officinalis,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Sarcocapnos enneaphylla,0,1,0,S,1,1,1,1
Sarcocapnos pulcherrima,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Sarcocapnos speciosa,0,1,0,S,1,1,1,1
Sarcocornia fruticosa,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Sarcocornia perennis alpini,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Sarcocornia perennis perennis,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Satureja intricata,0,1,0,S,1,1,1,1
Satureja obovata,0,1,0,S,1,1,1,1
Satureja obovata obovata,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Saxifraga erioblasta,0,1,0,S,1,1,1,1
Saxifraga nevadensis,0,1,0,S,1,1,1,1
Saxifraga oppositifolia oppositifolia,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Saxifraga stellaris robusta,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Saxifraga trabutiana,0,1,0,S,1,1,1,1
Scabiosa turolensis grosii,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Scleranthus pereniis,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Scrophularia canina,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Scrophularia canina canina,1,1,1,S,1,1,1,0
Scrophularia crithmifolia,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Scrophularia frutescens,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Sedum acre,1,1,0,S,1,1,0,0
Sedum album,1,1,1,S,1,1,1,1
Sedum amplexicaule,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Sedum brevifolium,1,1,0,S,1,1,1,1
Sedum dasyphyllum,1,1,0,S,1,0,1,0
Sedum forsterianum,0,1,0,S,1,1,0,0
Sedum gypsicola,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Sedum hirsutum hirsutum,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Sedum melanantherum,0,1,0,S,1,1,1,1
Sedum sediforme,1,1,1,S,1,1,0,0
Sedum villosum villosum,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Sempervivum minutum,0,1,0,S,1,1,0,0
Sempervivum tectorum,0,1,0,S,1,1,0,0
Senecio boissieri,0,1,0,S,1,1,1,1
Senecio malacitanus,0,1,0,S,1,1,1,1
Senecio nevadensis,0,1,0,S,1,1,1,1
Senecio quinqueradiatus,0,1,0,S,1,1,1,1
Sesamoides purpurascens,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Sesamoides purpurascens prostrata,0,1,0,S,1,0,1,0
Sesamoides purpurascens purpurascens,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Seseli montanum granatense,0,1,0,S,#N/A,#N/A,#N/A,#N/A
Sibbaldia procumbens,0,1,0,S,1,1,1,1
Sideritis arborescens,0,1,1,N,#N/A,#N/A,#N/A,#N/A
Sideritis carbonellii,0,1,0,S,1,1,1,1
Sideritis glacialis,0,1,0,S,1,1,1,1
Sideritis grandiflora,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Sideritis hirsuta,0,1,0,S,1,1,1,1
Sideritis incana,0,1,0,S,1,1,1,1
Sideritis incana occidentalis,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Sideritis lasiantha,0,1,0,S,1,1,1,1
Sideritis leucantha,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Sideritis paulii,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Sideritis pusilla,0,1,0,S,1,1,1,1
Sideritis reverchonii,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Silene andryalifolia,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Silene fernandezii,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Silene mellifera,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Silene nutans nutans,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Silene obtusifolia,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Silene saxifraga,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Silene vulgaris commutata,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Silene vulgaris vulgaris,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Smilax aspera,0,1,1,S,1,1,1,0
Smilax aspera altissima,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Smilax aspera aspera,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Solanum dulcamara,0,1,1,N,#N/A,#N/A,#N/A,#N/A
Solanum nigrum,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Sonchus tenerrimus,1,1,1,S,1,1,1,1
Sorbus aria,1,1,0,S,1,1,1,1
Sorbus hybrida,0,1,0,S,1,1,1,1
Sorbus torminalis,0,1,0,S,1,1,1,1
Spartium junceum,0,1,1,S,1,1,1,1
Spergularia fimbriata,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Spergularia maritima,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Spergularia media,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Spergularia nicaeensis,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Stachys circinata,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Staehelina baetica,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Staehelina dubia,1,1,1,S,1,1,1,1
Stauracanthus boivinii,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Stauracanthus genistoides,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Stipa tenacissima,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Suaeda vera,0,1,1,N,#N/A,#N/A,#N/A,#N/A
Tamarix africana,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Tamarix canariensis,0,1,1,S,1,1,1,1
Tamarix gallica,1,1,1,N,#N/A,#N/A,#N/A,#N/A
Tamarix parviflora,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Taxus baccata,1,1,0,S,1,1,0,0
Telephium imperati,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Teucrium aureum angustifolium,0,1,0,S,1,1,1,1
Teucrium bicoloreum,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Teucrium capitatum capitatum,0,1,1,S,1,1,1,1
Teucrium capitatum gracillimum,0,1,0,S,1,1,1,1
Teucrium chrysotrichum,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Teucrium compactum,0,1,0,S,1,1,1,1
Teucrium eriocephalum eriocephalum,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Teucrium fruticans,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Teucrium gnaphalodes,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Teucrium haenseleri,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Teucrium lerrouxi,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Teucrium lusitanicum,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Teucrium lusitanicum lusitanicum,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Teucrium murcicum,0,1,0,S,1,1,1,0
Teucrium oxylepis,0,1,0,S,1,1,1,0
Teucrium pseudochamaepitys,0,1,1,S,1,1,1,0
Teucrium rixanense,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Teucrium rotundifolium,0,1,0,S,1,1,1,Hongo 
Teucrium scordium,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Teucrium similatum,1,1,0,S,1,1,1,0
Teucrium webbianum,0,1,0,S,1,1,1,1
Thesium humifusum,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Thymbra capitata,1,1,1,S,1,1,1,1
Thymelaea argentata,1,1,0,S,1,0,0,0
Thymelaea hirsuta,1,1,1,S,1,1,0,0
Thymelaea lanuginosa,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Thymelaea pubescens elliptica,0,1,1,S,1,1,1,1
Thymelaea tartonraira austroiberica,0,1,0,S,1,1,0,0
Thymus albicans,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Thymus baeticus,1,1,1,S,1,1,1,1
Thymus carnosus,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Thymus granatensis granatensis,1,1,0,S,1,1,1,1
Thymus hyemalis hyemalis,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Thymus longiflorus,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Thymus mastichina donyanae,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Thymus mastichina mastichina,1,1,1,S,1,1,1,1
Thymus membranaceus,0,1,0,S,1,1,1,1
Thymus orospedanus,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Thymus pulegioides,0,1,0,S,1,1,1,1
Thymus serpylloides gadorensis,0,1,0,S,1,1,1,1
Thymus serpylloides serpylloides,0,1,0,S,1,1,1,1
Thymus vulgaris vulgaris,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Thymus zygis gracilis,0,1,1,S,1,1,1,1
Thymus zygis sylvestris,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Trachelium caeruleum,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Trachelium caeruleum caeruleum,0,1,1,S,1,1,1,1
Ulex argenteus subsericeus,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Ulex australis australis,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
